# Theta[deg]   da/a_dipole[ppm]  e(da/a_dipole)[ppm]
2.14389 10.1929 2.09935
2.31117 10.1917 2.0992
3.11194 10.185 2.09866
3.24643 10.1836 2.09848
3.36165 10.1824 2.09802
3.67887 10.179 2.09758
4.16861 10.173 2.09706
4.46545 10.169 2.09653
5.04318 10.1605 2.09523
5.3989 10.1548 2.09449
5.7962 10.1479 2.0937
6.15295 10.1412 2.09282
6.85205 10.1271 2.09099
7.03599 10.1232 2.09338
7.08071 10.1222 2.09326
7.22042 10.1191 2.08998
7.42864 10.1144 2.09231
7.55491 10.1115 2.09196
7.63488 10.1096 2.08862
8.01508 10.1004 2.0874
8.04791 10.0995 2.09132
8.1074 10.0981 2.09111
8.1949 10.0958 2.09008
8.38467 10.091 2.08949
8.56824 10.0862 2.08946
8.70536 10.0825 2.08536
8.7347 10.0817 2.08884
9.07856 10.0722 2.08407
9.24015 10.0676 2.08669
9.47473 10.0609 2.08587
9.55979 10.0584 2.08185
9.57304 10.058 2.08554
9.82011 10.0506 2.08451
9.95034 10.0466 2.0803
10.4784 10.0299 2.08217
10.5755 10.0267 2.07837
10.7431 10.0212 2.08113
10.9271 10.0151 2.07961
10.9503 10.0143 2.07681
11.229 10.0047 2.07818
11.5235 9.9944 2.07345
11.8457 9.98278 2.07656
11.9188 9.9801 2.07158
12.0171 9.97647 2.08087
12.0384 9.97568 2.08078
12.1306 9.97225 2.07532
12.2078 9.96935 2.08006
12.2706 9.96698 2.0798
12.4502 9.96014 2.07009
12.5145 9.95766 2.07171
12.6001 9.95435 2.07836
12.7013 9.9504 2.07792
12.825 9.94554 2.06828
12.8523 9.94446 2.0699
13.0327 9.93726 2.07749
13.0734 9.93563 2.07725
13.175 9.93152 2.07578
13.2986 9.92648 2.06992
13.3097 9.92603 2.07516
13.3945 9.92254 2.07537
13.5045 9.91799 2.06351
13.5129 9.91764 2.07466
13.5967 9.91414 2.06847
13.9016 9.90124 2.06134
13.9078 9.90098 2.07234
14.071 9.89395 2.07156
14.1271 9.89152 2.07091
14.2538 9.88599 2.06192
14.3134 9.88337 2.06974
14.3228 9.88296 2.06058
14.6148 9.86997 2.05974
14.6967 9.86628 2.05854
14.7727 9.86284 2.06808
14.8078 9.86124 2.06229
14.9593 9.85432 2.06712
15.1145 9.84715 2.06065
15.175 9.84433 2.06415
15.4169 9.83297 2.06252
15.4912 9.82945 2.0521
15.7451 9.81728 2.06301
15.8885 9.81032 2.04965
15.9506 9.80729 2.0619
16.0917 9.80036 2.05032
16.1892 9.79553 2.04994
16.3532 9.78735 2.05373
16.4678 9.78159 2.04779
16.4758 9.78118 2.05515
16.5614 9.77685 2.04768
16.6653 9.77156 2.05192
16.7611 9.76666 2.05309
16.8034 9.76448 2.05719
17.0092 9.75383 2.0621
17.0207 9.75323 2.06204
17.0236 9.75308 2.05593
17.1124 9.74844 2.06153
17.1466 9.74664 2.06134
17.3278 9.73708 2.06033
17.384 9.7341 2.06002
17.4766 9.72916 2.03934
17.6507 9.71981 2.05851
17.7275 9.71566 2.05808
17.8731 9.70773 2.03663
17.9209 9.70512 2.04433
17.9288 9.70468 2.05065
17.9716 9.70234 2.044
17.9934 9.70114 2.03703
18.0258 9.69936 2.05746
18.046 9.69824 2.03825
18.0579 9.69758 2.0572
18.074 9.6967 2.05609
18.1606 9.69191 2.04927
18.17 9.69138 2.05553
18.2361 9.6877 2.04235
18.2897 9.68472 2.04152
18.3131 9.68341 2.05509
18.3793 9.6797 2.03418
18.4079 9.67809 2.05431
18.416 9.67764 2.03579
18.5894 9.66784 2.05308
18.7027 9.66139 2.05241
18.9047 9.6498 2.05011
19.0572 9.64097 2.04881
19.1059 9.63813 2.04346
19.1876 9.63336 2.0495
19.3164 9.6258 2.04872
19.3464 9.62404 2.04195
19.4559 9.61756 2.02533
19.5007 9.6149 2.03415
19.6141 9.60814 2.0308
19.7719 9.59868 2.04257
19.8175 9.59593 2.03203
19.8507 9.59392 2.02239
19.8592 9.59341 2.04538
19.8907 9.5915 2.02561
19.9361 9.58875 2.02216
19.9568 9.58749 2.02793
