ObjName,Night,Exposure,Chip,ObsDate,Slope,SlopeUnc,Shift,ShiftUnc
J0120+2133,n1,01,b,2012-12-02T04:42:24.126,-721,542,133,137
J0120+2133,n1,01,r,2012-12-02T04:42:24.126,-141,146,-124,51
J0120+2133,n1,02,b,2012-12-02T05:39:27.750,-214,540,-32,140
J0120+2133,n1,02,r,2012-12-02T05:39:27.750,326,163,15,62
J0120+2133,n1,03,b,2012-12-02T07:29:42.417,231,756,71,208
J0120+2133,n1,03,r,2012-12-02T07:29:42.417,360,344,-25,142
J0120+2133,n1,01,b,2014-08-13T10:59:10.348,-70,216,188,56
J0120+2133,n1,01,r,2014-08-13T10:59:10.348,-57,113,93,46
J0120+2133,n2,01,b,2014-08-14T12:36:50.148,-60,154,25,38
J0120+2133,n2,01,r,2014-08-14T12:36:50.148,-30,70,-26,25
J0120+2133,n2,02,b,2014-08-14T13:41:54.802,211,207,-219,53
J0120+2133,n2,02,r,2014-08-14T13:41:54.802,-106,136,-100,49
J0120+2133,n3,01,b,2014-08-15T13:32:27.012,-49,309,-97,85
J0120+2133,n3,01,r,2014-08-15T13:32:27.012,-15,139,58,52
J1944+7705,n1,01,b,2014-08-13T08:35:31.923,100,86,-12,27
J1944+7705,n1,01,r,2014-08-13T08:35:31.923,-97,97,-2,27
J1944+7705,n1,02,b,2014-08-13T09:48:08.427,-118,109,-107,36
J1944+7705,n1,02,r,2014-08-13T09:48:08.427,-45,314,-146,81
J1944+7705,n3,01,b,2014-08-15T07:30:34.727,-216,306,361,88
J1944+7705,n3,01,r,2014-08-15T07:30:34.727,173,208,311,53
